RM,DIS,Price
6.57,4.09,24.00
6.42,4.97,21.60
7.18,4.97,34.70
7.00,6.06,33.40
7.15,6.06,36.20
6.43,6.06,28.70
6.01,5.56,22.90
6.17,5.95,27.10
5.63,6.08,16.50
6.00,6.59,18.90
6.38,6.35,15.00
6.01,6.23,18.90
5.89,5.45,21.70
5.95,4.71,20.40
6.10,4.46,18.20
5.83,4.50,19.90
5.93,4.50,23.10
5.99,4.26,17.50
5.46,3.80,20.20
5.73,3.80,18.20
5.57,3.80,13.60
5.97,4.01,19.60
6.14,3.98,15.20
5.81,4.10,14.50
5.92,4.40,15.60
5.60,4.45,13.90
5.81,4.68,16.60
6.05,4.45,14.80
6.49,4.45,18.40
6.67,4.24,21.00
5.71,4.23,12.70
6.07,4.18,14.50
5.95,3.99,13.20
5.70,3.79,13.10
6.10,3.76,13.50
5.93,3.36,18.90
5.84,3.38,20.00
5.85,3.93,21.00
5.97,3.85,24.70
6.59,5.40,30.80
7.02,5.40,34.90
6.77,5.72,26.60
6.17,5.72,25.30
6.21,5.72,24.70
6.07,5.72,21.20
5.68,5.10,19.30
5.79,5.10,20.00
6.03,5.69,16.60
5.40,5.87,14.40
5.60,6.09,19.40
5.96,6.81,19.70
6.11,6.81,20.50
6.51,6.81,25.00
6.00,6.81,23.40
5.89,7.32,18.90
7.25,8.70,35.40
6.38,9.19,24.70
6.82,8.32,31.60
6.14,7.81,23.30
5.93,6.93,19.60
5.74,7.23,18.70
5.97,6.82,16.00
6.46,7.23,22.20
6.76,7.98,25.00
7.10,9.22,33.00
6.29,6.61,23.50
5.79,6.61,19.40
5.88,6.50,22.00
5.59,6.50,17.40
5.89,6.50,20.90
6.42,5.29,24.20
5.96,5.29,21.70
6.07,5.29,22.80
6.24,5.29,23.40
6.27,4.25,24.10
6.29,4.50,21.40
6.28,4.05,20.00
6.14,4.09,20.80
6.23,5.01,21.20
5.87,4.50,20.30
6.73,5.40,28.00
6.62,5.40,23.90
6.30,5.40,24.80
6.17,5.40,22.90
6.39,4.78,23.90
6.63,4.44,26.60
6.01,4.43,22.50
6.12,3.75,22.20
7.01,3.42,23.60
7.08,3.41,28.70
6.42,3.09,22.60
6.41,3.09,22.00
6.44,3.67,22.90
6.21,3.67,25.00
6.25,3.62,20.60
6.63,3.50,28.40
6.16,3.50,21.40
8.07,3.50,38.70
7.82,3.50,43.80
7.42,3.50,33.20
6.73,2.78,27.50
6.78,2.86,26.50
6.41,2.71,18.60
6.14,2.71,19.30
6.17,2.42,20.10
5.85,2.11,19.50
5.84,2.21,19.50
6.13,2.12,20.40
6.47,2.43,19.80
6.23,2.55,19.40
6.20,2.78,21.70
6.72,2.68,22.80
5.91,2.35,18.80
6.09,2.55,18.70
6.25,2.26,18.50
5.93,2.46,18.30
6.18,2.73,21.20
6.02,2.75,19.20
5.87,2.48,20.40
5.73,2.76,19.30
5.87,2.26,22.00
6.00,2.20,20.30
5.96,2.09,20.50
5.86,1.94,17.30
5.88,2.01,18.80
5.99,1.99,21.40
5.61,1.76,15.70
5.69,1.79,16.20
6.43,1.81,18.00
5.64,1.98,14.30
6.46,2.12,19.20
6.33,2.27,19.60
6.37,2.33,23.00
5.82,2.47,18.40
5.76,2.35,15.60
6.34,2.11,18.10
5.94,1.97,17.40
6.45,1.85,17.10
5.86,1.67,13.30
6.15,1.67,17.80
6.17,1.61,14.00
5.02,1.44,14.40
5.40,1.32,13.40
5.47,1.41,15.60
4.90,1.35,11.80
6.13,1.42,13.80
5.63,1.52,15.60
4.93,1.46,14.60
5.19,1.53,17.80
5.60,1.53,15.40
6.12,1.62,21.50
5.40,1.59,19.60
5.01,1.61,15.30
5.71,1.62,19.40
6.13,1.75,17.00
6.15,1.75,15.60
5.27,1.74,13.10
6.94,1.88,41.30
6.07,1.76,24.30
6.51,1.77,23.30
6.25,1.80,27.00
7.49,1.97,50.00
7.80,2.04,50.00
8.38,2.16,50.00
5.85,2.42,22.70
6.10,2.28,25.00
7.93,2.05,50.00
5.88,2.43,23.80
6.32,2.10,23.80
6.40,2.26,22.30
5.88,2.43,17.40
5.88,2.39,19.10
5.57,2.60,23.10
6.42,2.65,23.60
5.86,2.70,22.60
6.55,3.13,29.40
6.02,3.55,23.20
6.32,3.32,24.60
6.86,2.92,29.90
6.98,2.83,37.20
7.76,2.74,39.80
6.14,2.60,36.20
7.16,2.70,37.90
6.56,2.85,32.50
5.60,2.99,26.40
6.15,3.28,29.60
7.83,3.20,50.00
6.78,3.79,32.00
6.56,4.57,29.80
7.18,4.57,34.90
6.95,6.48,37.00
6.74,6.48,30.50
7.18,6.48,36.40
6.80,6.22,31.10
6.60,6.22,29.10
7.88,5.65,50.00
7.29,7.31,33.30
7.11,7.31,30.30
7.27,7.31,34.60
6.97,7.65,34.90
