x_value,total_1,total_2
0,1000,1000
1,995,995
2,999,992
3,1003,990
4,1005,993
5,1003,991
6,1005,989
7,1004,989
8,1007,995
9,1006,991
10,1005,993
11,1003,999
12,1007,1001
13,1003,1002
14,1008,1004
15,1016,1000
16,1024,1006
17,1021,1009
18,1017,1012
19,1016,1010
20,1022,1006
21,1029,1010
22,1036,1016
23,1030,1014
24,1029,1011
25,1028,1012
26,1026,1011
27,1028,1009
28,1031,1006
29,1035,1009
30,1040,1014
31,1040,1020
32,1041,1021
33,1038,1026
34,1033,1021
35,1036,1026
36,1042,1022
37,1047,1027
38,1048,1031
39,1053,1026
40,1060,1021
41,1054,1019
42,1049,1017
43,1050,1015
44,1048,1012
45,1056,1008
46,1058,1010
47,1060,1016
48,1067,1013
49,1075,1014
50,1081,1017
51,1081,1012
52,1076,1016
53,1080,1022
54,1078,1023
55,1075,1020
56,1078,1024
57,1080,1023
58,1086,1020
59,1093,1021
60,1094,1016
61,1100,1020
62,1099,1022
63,1095,1023
64,1099,1021
65,1107,1017
66,1112,1018
67,1113,1013
68,1119,1018
69,1126,1023
70,1126,1022
71,1122,1017
72,1118,1020
73,1124,1025
74,1132,1027
75,1140,1022
76,1142,1026
77,1139,1026
78,1147,1030
79,1153,1033
80,1156,1035
81,1163,1033
82,1169,1033
83,1177,1033
84,1173,1028
85,1175,1033
86,1181,1033
87,1189,1032
88,1187,1036
89,1192,1032
90,1196,1030
91,1201,1034
92,1208,1032
93,1207,1038
94,1211,1039
95,1210,1037
96,1209,1039
97,1212,1042
98,1217,1048
99,1214,1051
100,1222,1051
101,1225,1050
102,1227,1045
103,1221,1042
104,1220,1037
105,1226,1033
106,1232,1038
107,1236,1038
108,1241,1034
109,1247,1040
110,1246,1044
111,1246,1040
112,1241,1039
113,1247,1036
114,1253,1032
115,1250,1030
116,1250,1027
117,1248,1025
118,1249,1028
119,1251,1023
120,1252,1027
121,1248,1028
122,1255,1026
123,1260,1027
124,1265,1029
125,1273,1033
126,1268,1031
127,1265,1035
128,1266,1037
129,1265,1037
130,1273,1036
131,1278,1035
132,1273,1040
133,1270,1037
134,1269,1034
135,1275,1031
136,1271,1028
137,1278,1024
138,1279,1023
139,1286,1028
140,1289,1023
141,1293,1019
142,1297,1020
143,1298,1017
144,1304,1018
145,1304,1014
146,1312,1014
147,1310,1013
148,1313,1012
149,1321,1011
150,1321,1014
151,1321,1014
152,1322,1011
153,1320,1013
154,1323,1010
155,1331,1016
156,1325,1016
157,1330,1013
158,1329,1013
159,1325,1018
160,1333,1013
161,1341,1013
162,1337,1018
163,1332,1021
164,1330,1020
165,1327,1023
166,1333,1029
167,1330,1024
168,1324,1026
169,1323,1022
170,1330,1024
171,1327,1024
172,1325,1020
173,1333,1017
174,1341,1014
175,1347,1019
176,1343,1020
177,1342,1019
178,1343,1022
179,1340,1018
180,1338,1024
181,1344,1030
182,1352,1025
183,1356,1025
184,1360,1028
185,1356,1027
186,1350,1031
187,1355,1033
188,1357,1029
189,1361,1024
190,1361,1022
191,1357,1018
192,1355,1015
193,1358,1013
194,1354,1009
195,1356,1010
196,1358,1015
197,1357,1012
198,1359,1007
199,1366,1012
200,1360,1010
201,1366,1006
202,1374,1001
203,1376,1007
204,1382,1003
205,1382,1008
206,1385,1014
207,1389,1012
208,1385,1011
209,1389,1013
210,1386,1016
211,1381,1011
212,1385,1015
213,1393,1021
214,1393,1020
215,1400,1016
216,1400,1013
217,1404,1009
218,1407,1013
219,1404,1014
220,1404,1019
221,1409,1025
222,1416,1025
223,1410,1025
224,1408,1024
225,1406,1029
226,1405,1027
227,1409,1023
228,1410,1025
229,1417,1020
230,1411,1020
231,1417,1025
232,1420,1030
233,1422,1025
234,1422,1027
235,1428,1033
236,1426,1033
237,1430,1028
238,1435,1031
239,1435,1035
240,1431,1037
241,1435,1042
242,1440,1040
243,1443,1036
244,1441,1037
245,1438,1038
246,1443,1034
247,1440,1036
248,1441,1041
249,1439,1040
250,1438,1044
251,1441,1045
252,1438,1044
253,1441,1044
254,1446,1043
255,1451,1040
256,1454,1045
257,1461,1041
258,1463,1041
259,1471,1040
260,1468,1035
261,1470,1033
262,1475,1031
263,1482,1034
264,1477,1033
265,1483,1035
266,1483,1035
